name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,car_age,km_per_year,price_category
Maruti 800 AC,2007.0,275000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,19.0,3500.0,Budget
Maruti Wagon R LXI Minor,2014.0,135000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,12.0,3846.153846153846,Budget
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,Hyundai,14.0,6666.666666666667,Luxury
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,Datsun,9.0,4600.0,Budget
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,Honda,12.0,10846.153846153846,Mid-Range
Maruti Alto LX BSIII,2007.0,140000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,19.0,3000.0,Budget
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,Tata,12.0,4615.384615384615,Budget
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,11.0,2083.3333333333335,Luxury
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,Maruti,9.0,7800.0,Mid-Range
,2014.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,,12.0,4615.384615384615,Mid-Range
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,Tata,12.0,7692.307692307692,Budget
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Toyota,8.0,2777.777777777778,Luxury
Maruti 800 AC,2007.0,275000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,19.0,3500.0,Budget
Maruti Wagon R LXI Minor,2007.0,135000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,19.0,3000.0,Budget
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,Hyundai,14.0,6666.666666666667,Luxury
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,Datsun,9.0,4600.0,Budget
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,Honda,12.0,10846.153846153846,Mid-Range
Maruti Alto LX BSIII,2007.0,140000.0,125000.0,Petrol,Individual,Manual,First Owner,Maruti,19.0,6250.0,Budget
Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,10.0,2272.7272727272725,Luxury
Tata Indigo Grand Petrol,2012.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,Tata,14.0,4000.0,Budget
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,11.0,2083.3333333333335,Luxury
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,Maruti,9.0,7800.0,Mid-Range
Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,Chevrolet,11.0,2916.6666666666665,Budget
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,Tata,12.0,7692.307692307692,Budget
